atom_id,type,element,npbc_rmsf_A,pbc_rmsf_A,delta_npbc_minus_pbc_A
1,4,H,3.570460498600029,3.5644987168393634,0.005961781760665641
2,1,C,3.1036098717734446,3.0844127879053387,0.019197083868105924
3,4,H,3.5823243106170315,3.5528764955338867,0.029447815083144757
4,4,H,3.5800028342284222,3.5678749433265993,0.01212789090182298
5,1,C,1.8785694020143868,1.8565495348746666,0.02201986713972026
6,3,O,2.2033870332409204,2.1613785453028442,0.04200848793807621
7,2,N,1.2427218769453827,1.2380449945915752,0.004676882353807477
8,4,H,1.9912028484025943,1.9899401791554683,0.001262669247126036
9,1,C,0.9600975554029931,0.9516686091532548,0.008428946249738334
10,4,H,1.6450577260592543,1.604951008976294,0.04010671708296032
11,1,C,2.1677811869065198,2.198928512546314,-0.031147325639794055
12,4,H,2.669530346488218,2.724747300047648,-0.05521695355942979
13,4,H,2.7048759466628254,2.727512038319365,-0.02263609165653957
14,4,H,2.7153734311306774,2.7275054411827226,-0.012132010052045228
15,1,C,1.2427454213387503,1.2316378563060244,0.011107565032725919
16,3,O,2.2159967371145837,2.2306584010915946,-0.014661663977010964
17,2,N,1.880640340800018,1.8434167937430863,0.03722354705693176
18,4,H,2.0714517907610177,2.009509994395762,0.06194179636525554
19,1,C,3.123603622574067,3.1064093111099083,0.01719431146415884
20,4,H,3.6091581752705295,3.5855764579532554,0.023581717317274098
21,4,H,3.605264083460239,3.5942794737824975,0.01098460967774173
22,4,H,3.601020486611851,3.596203754031877,0.004816732579973948
