lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,0,11,eq,500000,0.0,eq,506000,0.006,alpha_prime,C7eq,12,6.0
npbc,12,12,eq,506000,0.006,eq,506500,0.0065,C7eq,alpha_prime,1,0.5
npbc,13,17,eq,506500,0.0065,eq,509000,0.009,alpha_prime,C7eq,5,2.5
npbc,18,19,eq,509000,0.009,eq,510000,0.01,C7eq,alpha_prime,2,1.0
npbc,20,23,eq,510000,0.01,eq,512000,0.012,alpha_prime,C7eq,4,2.0
npbc,24,31,eq,512000,0.012,eq,516000,0.016,C7eq,alpha_prime,8,4.0
npbc,32,32,eq,516000,0.016,eq,516500,0.0165,alpha_prime,C7eq,1,0.5
npbc,33,47,eq,516500,0.0165,eq,524000,0.024,C7eq,PPII,15,7.5
npbc,48,48,eq,524000,0.024,eq,524500,0.024499999999999997,PPII,C7eq,1,0.5
npbc,49,54,eq,524500,0.024499999999999997,eq,527500,0.0275,C7eq,alpha_prime,6,3.0
npbc,55,55,eq,527500,0.0275,eq,528000,0.027999999999999997,alpha_prime,C7eq,1,0.5
npbc,56,59,eq,528000,0.027999999999999997,eq,530000,0.03,C7eq,alpha_prime,4,2.0
npbc,60,60,eq,530000,0.03,eq,530500,0.0305,alpha_prime,C7eq,1,0.5
npbc,61,61,eq,530500,0.0305,eq,531000,0.031,C7eq,alpha_prime,1,0.5
npbc,62,65,eq,531000,0.031,eq,533000,0.033,alpha_prime,C7eq,4,2.0
npbc,66,67,eq,533000,0.033,eq,534000,0.033999999999999996,C7eq,alpha_prime,2,1.0
npbc,68,68,eq,534000,0.033999999999999996,eq,534500,0.034499999999999996,alpha_prime,C7eq,1,0.5
npbc,69,69,eq,534500,0.034499999999999996,eq,535000,0.034999999999999996,C7eq,alpha_prime,1,0.5
npbc,70,70,eq,535000,0.034999999999999996,eq,535500,0.0355,alpha_prime,C7eq,1,0.5
npbc,71,76,eq,535500,0.0355,eq,538500,0.0385,C7eq,alpha_prime,6,3.0
npbc,77,77,eq,538500,0.0385,eq,539000,0.039,alpha_prime,C7eq,1,0.5
npbc,78,117,eq,539000,0.039,eq,559000,0.059,C7eq,alpha_prime,40,20.0
npbc,118,119,eq,559000,0.059,eq,560000,0.06,alpha_prime,C7eq,2,1.0
npbc,120,120,eq,560000,0.06,eq,560500,0.0605,C7eq,alpha_prime,1,0.5
npbc,121,122,eq,560500,0.0605,eq,561500,0.0615,alpha_prime,C7eq,2,1.0
npbc,123,134,eq,561500,0.0615,eq,567500,0.06749999999999999,C7eq,alpha_prime,12,6.0
npbc,135,137,eq,567500,0.06749999999999999,eq,569000,0.06899999999999999,alpha_prime,C7eq,3,1.5
npbc,138,138,eq,569000,0.06899999999999999,eq,569500,0.06949999999999999,C7eq,alpha_prime,1,0.5
npbc,139,141,eq,569500,0.06949999999999999,eq,571000,0.071,alpha_prime,C7eq,3,1.5
npbc,142,177,eq,571000,0.071,eq,589000,0.089,C7eq,alpha_prime,36,18.0
npbc,178,178,eq,589000,0.089,eq,589500,0.0895,alpha_prime,C7eq,1,0.5
npbc,179,190,eq,589500,0.0895,eq,595500,0.0955,C7eq,alpha_prime,12,6.0
npbc,191,200,eq,595500,0.0955,eq,600500,0.10049999999999999,alpha_prime,C7eq,10,5.0
npbc,201,205,eq,600500,0.10049999999999999,eq,603000,0.103,C7eq,alpha_prime,5,2.5
npbc,206,206,eq,603000,0.103,eq,603500,0.1035,alpha_prime,C7eq,1,0.5
npbc,207,211,eq,603500,0.1035,eq,606000,0.106,C7eq,alpha_prime,5,2.5
npbc,212,212,eq,606000,0.106,eq,606500,0.1065,alpha_prime,C7eq,1,0.5
npbc,213,214,eq,606500,0.1065,eq,607500,0.1075,C7eq,alpha_prime,2,1.0
npbc,215,221,eq,607500,0.1075,eq,611000,0.111,alpha_prime,C7eq,7,3.5
npbc,222,222,eq,611000,0.111,eq,611500,0.1115,C7eq,alpha_prime,1,0.5
npbc,223,275,eq,611500,0.1115,eq,638000,0.13799999999999998,alpha_prime,alphaR,53,26.5
npbc,276,276,eq,638000,0.13799999999999998,eq,638500,0.13849999999999998,alphaR,alpha_prime,1,0.5
npbc,277,330,eq,638500,0.13849999999999998,eq,665500,0.16549999999999998,alpha_prime,C7eq,54,27.0
npbc,331,352,eq,665500,0.16549999999999998,eq,676500,0.1765,C7eq,alphaL,22,11.0
npbc,353,353,eq,676500,0.1765,eq,677000,0.177,alphaL,C7eq,1,0.5
npbc,354,354,eq,677000,0.177,eq,677500,0.1775,C7eq,alphaL,1,0.5
npbc,355,355,eq,677500,0.1775,eq,678000,0.178,alphaL,C7eq,1,0.5
npbc,356,359,eq,678000,0.178,eq,680000,0.18,C7eq,PPII,4,2.0
npbc,360,360,eq,680000,0.18,eq,680500,0.1805,PPII,C7eq,1,0.5
npbc,361,361,eq,680500,0.1805,eq,681000,0.181,C7eq,PPII,1,0.5
npbc,362,364,eq,681000,0.181,eq,682500,0.1825,PPII,C7eq,3,1.5
npbc,365,366,eq,682500,0.1825,eq,683500,0.1835,C7eq,PPII,2,1.0
npbc,367,368,eq,683500,0.1835,eq,684500,0.1845,PPII,C5,2,1.0
npbc,369,413,eq,684500,0.1845,eq,707000,0.207,C5,alphaR,45,22.5
npbc,414,414,eq,707000,0.207,eq,707500,0.2075,alphaR,C5,1,0.5
npbc,415,486,eq,707500,0.2075,eq,743500,0.2435,C5,PPII,72,36.0
npbc,487,487,eq,743500,0.2435,eq,744000,0.244,PPII,C5,1,0.5
npbc,488,561,eq,744000,0.244,eq,781000,0.28099999999999997,C5,PPII,74,37.0
npbc,562,562,eq,781000,0.28099999999999997,eq,781500,0.2815,PPII,C5,1,0.5
npbc,563,651,eq,781500,0.2815,eq,826000,0.326,C5,PPII,89,44.5
npbc,652,652,eq,826000,0.326,eq,826500,0.3265,PPII,C5,1,0.5
npbc,653,842,eq,826500,0.3265,eq,921500,0.4215,C5,PPII,190,95.0
npbc,843,843,eq,921500,0.4215,eq,922000,0.422,PPII,C5,1,0.5
npbc,844,1298,eq,922000,0.422,prod,1149500,0.649001,C5,PPII,455,227.5
npbc,1299,1299,prod,1149500,0.649001,prod,1150000,0.649501,PPII,alpha_prime,1,0.5
npbc,1300,1300,prod,1150000,0.649501,prod,1150500,0.650001,alpha_prime,C7eq,1,0.5
npbc,1301,1303,prod,1150500,0.650001,prod,1152000,0.651501,C7eq,C5,3,1.5
npbc,1304,1304,prod,1152000,0.651501,prod,1152500,0.652001,C5,PPII,1,0.5
npbc,1305,1306,prod,1152500,0.652001,prod,1153500,0.653001,PPII,C7eq,2,1.0
npbc,1307,1307,prod,1153500,0.653001,prod,1154000,0.653501,C7eq,alpha_prime,1,0.5
npbc,1308,1308,prod,1154000,0.653501,prod,1154500,0.654001,alpha_prime,PPII,1,0.5
npbc,1309,1310,prod,1154500,0.654001,prod,1155500,0.655001,PPII,C7eq,2,1.0
npbc,1311,1311,prod,1155500,0.655001,prod,1156000,0.655501,C7eq,alpha_prime,1,0.5
npbc,1312,1320,prod,1156000,0.655501,prod,1160500,0.6600010000000001,alpha_prime,C7eq,9,4.5
npbc,1321,1321,prod,1160500,0.6600010000000001,prod,1161000,0.660501,C7eq,alpha_prime,1,0.5
npbc,1322,1340,prod,1161000,0.660501,prod,1170500,0.6700010000000001,alpha_prime,C7eq,19,9.5
npbc,1341,1341,prod,1170500,0.6700010000000001,prod,1171000,0.670501,C7eq,alpha_prime,1,0.5
npbc,1342,1352,prod,1171000,0.670501,prod,1176500,0.6760010000000001,alpha_prime,C7eq,11,5.5
npbc,1353,1355,prod,1176500,0.6760010000000001,prod,1178000,0.677501,C7eq,alpha_prime,3,1.5
npbc,1356,1356,prod,1178000,0.677501,prod,1178500,0.6780010000000001,alpha_prime,C7eq,1,0.5
npbc,1357,1357,prod,1178500,0.6780010000000001,prod,1179000,0.678501,C7eq,alpha_prime,1,0.5
npbc,1358,1374,prod,1179000,0.678501,prod,1187500,0.687001,alpha_prime,C7eq,17,8.5
npbc,1375,1382,prod,1187500,0.687001,prod,1191500,0.691001,C7eq,alpha_prime,8,4.0
npbc,1383,1383,prod,1191500,0.691001,prod,1192000,0.691501,alpha_prime,C7eq,1,0.5
npbc,1384,1384,prod,1192000,0.691501,prod,1192500,0.6920010000000001,C7eq,alpha_prime,1,0.5
