frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
0,500000,0.0,2,2,4
1,510000,0.01,0,3,3
2,520000,0.02,2,5,7
3,530000,0.03,0,4,4
4,540000,0.04,1,2,3
5,550000,0.05,0,2,2
6,560000,0.06,1,4,5
7,570000,0.07,0,3,3
8,580000,0.08,1,4,5
9,590000,0.09,0,3,3
10,600000,0.1,1,4,5
11,610000,0.11,1,3,4
12,620000,0.12,0,4,4
13,630000,0.13,1,4,5
14,640000,0.14,0,4,4
15,650000,0.15,1,2,3
16,660000,0.16,2,4,6
17,670000,0.17,1,3,4
18,680000,0.18,2,2,4
19,690000,0.19,2,2,4
20,700000,0.2,0,3,3
21,710000,0.21,1,3,4
22,720000,0.22,0,3,3
23,730000,0.23,0,1,1
24,740000,0.24,0,2,2
25,750000,0.25,1,3,4
26,760000,0.26,1,4,5
27,770000,0.27,1,2,3
28,780000,0.28,0,2,2
29,790000,0.29,1,3,4
30,800000,0.3,1,3,4
31,810000,0.31,2,4,6
32,820000,0.32,0,4,4
33,830000,0.33,2,3,5
34,840000,0.34,2,4,6
35,850000,0.35000000000000003,1,5,6
36,860000,0.36,1,2,3
37,870000,0.37,2,0,2
38,880000,0.38,2,3,5
39,890000,0.39,1,1,2
40,900000,0.4,1,5,6
41,910000,0.41000000000000003,0,3,3
42,920000,0.42,1,2,3
43,930000,0.43,0,5,5
44,940000,0.44,0,0,0
45,950000,0.45,1,1,2
46,960000,0.46,2,1,3
47,970000,0.47000000000000003,1,3,4
48,980000,0.48,0,3,3
49,990000,0.49,1,5,6
50,1000000,0.5,1,3,4
51,1010000,0.51,1,3,4
52,1020000,0.52,1,5,6
53,1030000,0.53,1,1,2
54,1040000,0.54,1,4,5
55,1050000,0.55,0,3,3
56,1060000,0.56,1,3,4
57,1070000,0.5700000000000001,1,4,5
58,1080000,0.58,0,4,4
59,1090000,0.59,1,4,5
60,1100000,0.6,0,3,3
61,1110000,0.61,1,4,5
62,1120000,0.62,2,3,5
63,1130000,0.63,1,4,5
64,1140000,0.64,1,4,5
65,1150000,0.65,1,4,5
66,1160000,0.66,1,3,4
67,1170000,0.67,0,4,4
68,1180000,0.68,0,2,2
69,1190000,0.6900000000000001,1,3,4
