frame,step,time_ns,n_shell1,n_shell2
0,500000,0.0,13,26
1,510000,0.01,11,32
2,520000,0.02,15,26
3,530000,0.03,11,33
4,540000,0.04,11,31
5,550000,0.05,13,24
6,560000,0.06,11,30
7,570000,0.07,13,29
8,580000,0.08,13,31
9,590000,0.09,14,28
10,600000,0.1,18,24
11,610000,0.11,15,28
12,620000,0.12,12,24
13,630000,0.13,16,20
14,640000,0.14,15,29
15,650000,0.15,13,27
16,660000,0.16,13,31
17,670000,0.17,12,30
18,680000,0.18,13,31
19,690000,0.19,15,24
20,700000,0.2,14,31
21,710000,0.21,13,27
22,720000,0.22,19,22
23,730000,0.23,15,30
24,740000,0.24,13,26
25,750000,0.25,13,33
26,760000,0.26,14,29
27,770000,0.27,14,30
28,780000,0.28,12,34
29,790000,0.29,14,30
30,800000,0.3,15,25
31,810000,0.31,10,26
32,820000,0.32,12,30
33,830000,0.33,12,29
34,840000,0.34,15,25
35,850000,0.35000000000000003,11,29
36,860000,0.36,16,26
37,870000,0.37,16,24
38,880000,0.38,11,31
39,890000,0.39,9,36
40,900000,0.4,15,28
41,910000,0.41000000000000003,12,32
42,920000,0.42,13,26
43,930000,0.43,13,29
44,940000,0.44,15,24
45,950000,0.45,12,28
46,960000,0.46,14,27
47,970000,0.47000000000000003,13,31
48,980000,0.48,12,26
49,990000,0.49,12,30
50,1000000,0.5,13,31
51,1010000,0.51,12,28
52,1020000,0.52,15,28
53,1030000,0.53,12,33
54,1040000,0.54,9,31
55,1050000,0.55,11,33
56,1060000,0.56,15,28
57,1070000,0.5700000000000001,14,29
58,1080000,0.58,11,30
59,1090000,0.59,16,25
60,1100000,0.6,11,27
61,1110000,0.61,12,32
62,1120000,0.62,9,33
63,1130000,0.63,12,32
64,1140000,0.64,16,26
65,1150000,0.65,9,32
66,1160000,0.66,14,25
67,1170000,0.67,14,26
68,1180000,0.68,11,31
69,1190000,0.6900000000000001,16,27
70,1200000,0.7000000000000001,15,26
71,1210000,0.71,13,29
72,1220000,0.72,12,28
73,1230000,0.73,10,29
74,1240000,0.74,16,28
75,1250000,0.75,12,32
76,1260000,0.76,9,29
77,1270000,0.77,16,27
78,1280000,0.78,16,26
79,1290000,0.79,14,30
80,1300000,0.8,12,28
81,1310000,0.81,12,28
82,1320000,0.8200000000000001,16,28
83,1330000,0.8300000000000001,11,28
84,1340000,0.84,12,28
85,1350000,0.85,13,30
86,1360000,0.86,17,23
87,1370000,0.87,13,29
88,1380000,0.88,9,31
89,1390000,0.89,15,24
90,1400000,0.9,11,30
91,1410000,0.91,16,21
92,1420000,0.92,14,28
93,1430000,0.93,14,27
94,1440000,0.9400000000000001,11,31
95,1450000,0.9500000000000001,15,22
96,1460000,0.96,15,25
97,1470000,0.97,10,33
98,1480000,0.98,20,25
99,1490000,0.99,15,24
100,1500000,1.0,11,34
101,1510000,1.01,14,29
