site_category,r_A,rho_npbc_molA3,rho_pbc_molA3,delta_npbc_minus_pbc,rel_delta_vs_pbc
all_heavy,0.125,0.0,0.0,0.0,nan
all_heavy,0.375,0.0,0.0,0.0,nan
all_heavy,0.625,0.0,0.0,0.0,nan
all_heavy,0.875,0.0,0.0,0.0,nan
all_heavy,1.125,0.0,0.0,0.0,nan
all_heavy,1.375,0.0,0.0,0.0,nan
all_heavy,1.625,0.0,0.0,0.0,nan
all_heavy,1.875,0.0,0.0,0.0,nan
all_heavy,2.125,0.0,0.0,0.0,nan
all_heavy,2.375,0.00011253415336722829,0.00016880123005084244,-5.626707668361415e-05,-0.33333333333333337
all_heavy,2.625,0.006292835060181386,0.006163845761729644,0.00012898929845174198,0.020926756352765412
all_heavy,2.875,0.013243427352590058,0.014971832894546417,-0.0017284055419563588,-0.11544381734222676
all_heavy,3.125,0.018102978142015464,0.01914988169117656,-0.0010469035491610969,-0.05466893039049243
all_heavy,3.375,0.028177441062700256,0.030814546251195944,-0.0026371051884956885,-0.08557988058621308
all_heavy,3.625,0.03535400426938598,0.03807986324518006,-0.002725858975794082,-0.07158268815839579
all_heavy,3.875,0.03635500888486126,0.03809768063129091,-0.0017426717464296484,-0.04574220051071386
all_heavy,4.125,0.03194880426678078,0.032751350465794436,-0.000802546199013654,-0.024504217004786857
all_heavy,4.375,0.030304284199882733,0.030370653635274504,-6.63694353917714e-05,-0.0021853146853146915
all_heavy,4.625,0.030060239197602583,0.03126585582451423,-0.0012056166269116472,-0.03856016715737474
all_heavy,4.875,0.03142154762427448,0.0319935288416609,-0.0005719812173864205,-0.01787802840434425
all_heavy,5.125,0.030980447165413698,0.031814815180407276,-0.0008343680149935778,-0.026225769669327267
all_heavy,5.375,0.030575910804065423,0.032066667853192156,-0.0014907570491267327,-0.04648930334613272
all_heavy,5.625,0.032181204404977945,0.032881886938968666,-0.0007006825339907208,-0.02130907314690431
all_heavy,5.875,0.033662381366232355,0.0355543949279867,-0.0018920135617543424,-0.05321461849052706
all_heavy,6.125,0.034923103093913895,0.03630146839251969,-0.0013783652986057923,-0.037969959884317506
all_heavy,6.375,0.03569886742884705,0.037060357643862625,-0.0013614902150155747,-0.03673710405331299
all_heavy,6.625,0.03610833227423627,0.03722283164695291,-0.0011144993727166402,-0.029941283975580452
all_heavy,6.875,0.035839400047358555,0.03805978965464287,-0.0022203896072843163,-0.05833951336652891
all_heavy,7.125,0.03648598297828478,0.037629767737584835,-0.0011437847593000552,-0.030395743265713444
all_heavy,7.375,0.0364442653030147,0.037323777250106875,-0.000879511947092175,-0.023564387419809086
all_heavy,7.625,0.03645842873876763,0.03749429130678153,-0.0010358625680138983,-0.027627207553768154
all_heavy,7.875,0.03613307229429512,0.03699972513963912,-0.0008666528453439987,-0.02342322387729099
all_heavy,8.125,0.03608510076767971,0.03687133772869511,-0.0007862369610153949,-0.021323798089471168
all_heavy,8.375,0.03623018183845426,0.03653542112044323,-0.00030523928198897265,-0.008354612390608997
all_heavy,8.625,0.035566168640623376,0.036845478073069565,-0.0012793094324461893,-0.03472093454478038
all_heavy,8.875,0.03582904995616638,0.036746130386597055,-0.0009170804304306779,-0.024957197418675078
all_heavy,9.125,0.03653201541990001,0.03706000528352931,-0.0005279898636292996,-0.014246891213044583
all_heavy,9.375,0.03651514823408872,0.03717944115568045,-0.0006642929215917304,-0.01786721104306423
all_heavy,9.625,0.03715570533791933,0.03706106732875298,9.463800916634929e-05,0.0025535694459864235
all_heavy,9.875,0.03707626281365918,0.03740201324692685,-0.0003257504332676714,-0.008709435802748848
all_heavy,10.125,0.03728524287062356,0.03723256609308213,5.2676777541435515e-05,0.0014148038416085145
O_acceptor,0.125,0.0,0.0,0.0,nan
O_acceptor,0.375,0.0,0.0,0.0,nan
O_acceptor,0.625,0.0,0.0,0.0,nan
O_acceptor,0.875,0.0,0.0,0.0,nan
O_acceptor,1.125,0.0,0.0,0.0,nan
O_acceptor,1.375,0.0,0.0,0.0,nan
O_acceptor,1.625,0.0,0.0,0.0,nan
O_acceptor,1.875,0.0,0.0,0.0,nan
O_acceptor,2.125,0.0,0.0,0.0,nan
O_acceptor,2.375,0.0005626707668361415,0.0008440061502542122,-0.0002813353834180707,-0.3333333333333333
O_acceptor,2.625,0.02943720061095099,0.02805517241325376,0.0013820281976972305,0.049261083743842395
O_acceptor,2.875,0.04140491498286567,0.047550356909821616,-0.006145441926955944,-0.12924071082390953
O_acceptor,3.125,0.025392287947043964,0.025977513533531532,-0.0005852255864875686,-0.022528160200250297
O_acceptor,3.375,0.01915107044922346,0.021297551416603673,-0.0021464809673802134,-0.10078534031413613
O_acceptor,3.625,0.019042348164235237,0.0208305889816888,-0.0017882408174535631,-0.08584686774941996
O_acceptor,3.875,0.02021837608721778,0.022269822196485694,-0.0020514461092679126,-0.09211775878442544
O_acceptor,4.125,0.02370310866854282,0.024356343946809748,-0.0006532352782669289,-0.02681992337164754
O_acceptor,4.375,0.02855544957730956,0.027642869840672706,0.0009125797366368558,0.03301320528211291
O_acceptor,4.625,0.028566581159827797,0.030496755562518865,-0.0019301744026910678,-0.06329113924050635
O_acceptor,4.875,0.034706430410105835,0.0344525135145371,0.0002539168955687371,0.007370054305663298
O_acceptor,5.125,0.03514019495030921,0.037401453193842533,-0.0022612582435333206,-0.06045910119624966
O_acceptor,5.375,0.033223213882455666,0.03544395815917838,-0.002220744276722718,-0.06265508684863531
O_acceptor,5.625,0.03406039882278688,0.03544570240001782,-0.001385303577230941,-0.03908241291418856
O_acceptor,5.875,0.03675438796520832,0.037407758407253834,-0.0006533704420455116,-0.017466174661746502
O_acceptor,6.125,0.03574605829676698,0.036643519731977145,-0.0008974614352101618,-0.024491682070240314
O_acceptor,6.375,0.03523305332543184,0.03637414156534157,-0.0011410882399097294,-0.03137086377309848
O_acceptor,6.625,0.03527318144559017,0.03598240831913712,-0.0007092268735469504,-0.01971037811745776
O_acceptor,6.875,0.03469694776758151,0.03632998249690987,-0.00163303472932836,-0.04495005549389575
O_acceptor,7.125,0.03520829781499665,0.036572329967772425,-0.0013640321527757723,-0.037296834901625324
O_acceptor,7.375,0.035221358253073785,0.03652953007344993,-0.0013081718203761458,-0.03581135091926462
O_acceptor,7.625,0.035315483331444276,0.036719579744838644,-0.0014040964133943679,-0.038238357387293614
O_acceptor,7.875,0.03554198637022479,0.03681225768018527,-0.0012702713099604773,-0.034506748295533615
O_acceptor,8.125,0.03627083361159155,0.0364103738311108,-0.0001395402195192505,-0.003832430289414401
O_acceptor,8.375,0.036746461929652224,0.03829077343051634,-0.0015443115008641137,-0.04033116499112954
O_acceptor,8.625,0.037123885866779484,0.03814015971498439,-0.0010162738482049072,-0.02664576802507821
O_acceptor,8.875,0.03705827649616317,0.03859884256663159,-0.001540566070468423,-0.03991223487618851
O_acceptor,9.125,0.03743615991180856,0.0370966288578851,0.00033953105392346,0.009152612093788428
O_acceptor,9.375,0.03700595878225062,0.03685054748938639,0.00015541129286422706,0.004217340133385759
O_acceptor,9.625,0.036819671827111274,0.036277903513767674,0.0005417683133435991,0.014933837429111495
O_acceptor,9.875,0.03604102793673455,0.03670881632493326,-0.0006677883881987118,-0.018191498802023164
O_acceptor,10.125,0.03665374126692092,0.03649880956826963,0.00015493169865128664,0.004244842516342699
N_site,0.125,0.0,0.0,0.0,nan
N_site,0.375,0.0,0.0,0.0,nan
N_site,0.625,0.0,0.0,0.0,nan
N_site,0.875,0.0,0.0,0.0,nan
N_site,1.125,0.0,0.0,0.0,nan
N_site,1.375,0.0,0.0,0.0,nan
N_site,1.625,0.0,0.0,0.0,nan
N_site,1.875,0.0,0.0,0.0,nan
N_site,2.125,0.0,0.0,0.0,nan
N_site,2.375,0.0,0.0,0.0,nan
N_site,2.625,0.001474163410877045,0.002257312722905475,-0.0007831493120284301,-0.3469387755102041
N_site,2.875,0.01858996182904173,0.018935642937433002,-0.0003456811083912721,-0.0182555780933063
N_site,3.125,0.022791285340432545,0.02558736314253982,-0.002796077802107274,-0.10927573062261754
N_site,3.375,0.024252447293776434,0.024057312660378232,0.00019513463339820153,0.008111239860950189
N_site,3.625,0.022908814796567263,0.024262078117883473,-0.0013532633213162101,-0.055776892430278904
N_site,3.875,0.02410977901613836,0.02489228938771478,-0.0007825103715764191,-0.03143585386576035
N_site,4.125,0.026428032972170577,0.027529201012677685,-0.0011011680405071077,-0.04000000000000001
N_site,4.375,0.030131723667864128,0.02998239243823264,0.0001493312296314865,0.004980630879911499
N_site,4.625,0.034446189340332896,0.03699995855004723,-0.0025537692097143336,-0.06902086677367572
N_site,4.875,0.037111958894441244,0.03756633649703793,-0.0004543776025966867,-0.012095339736748456
N_site,5.125,0.03396724281328926,0.03500717975951314,-0.0010399369462238822,-0.029706390328152074
N_site,5.375,0.033300170367292596,0.035630852479496634,-0.0023306821122040383,-0.06541190990435053
N_site,5.625,0.03454224354530199,0.036078123598318905,-0.0015358800530169137,-0.04257095158597659
N_site,5.875,0.035337218274011005,0.03700285278119746,-0.0016656345071864517,-0.04501367818950498
N_site,6.125,0.034857063478870125,0.036431854299144556,-0.0015747908202744312,-0.043225656518707814
N_site,6.375,0.03458435247671604,0.03459216814959214,-7.815672876096413e-06,-0.0002259376412110949
N_site,6.625,0.03458566559878445,0.035917275238913415,-0.0013316096401289682,-0.037074350191416486
N_site,6.875,0.035510104978481644,0.037290986473428205,-0.001780881494946561,-0.047756352495945176
N_site,7.125,0.0351707556456542,0.037335687411068956,-0.0021649317654147543,-0.05798558739735201
N_site,7.375,0.0366696913399188,0.03724201651133337,-0.0005723251714145686,-0.015367727771679615
N_site,7.625,0.036430019005889616,0.037631969243036544,-0.0012019502371469273,-0.031939605110336805
N_site,7.875,0.036284685321612976,0.03782642590346017,-0.0015417405818471952,-0.04075829383886265
N_site,8.125,0.036145728587194975,0.0372524268799339,-0.0011066982927389266,-0.029708085765951853
