frame_index,source,step,time_ns,rmsd_all_A,rmsd_heavy_A,rgyr_all_A,rgyr_heavy_A,dist_5_17_A
0,eq,500000,0.0,1.3586917405050917e-15,1.0980413188535312e-15,2.6903002649584713,2.111462543186449,3.2186008860854436
1,eq,500500,0.0005,1.3254086140815298,0.8340184483891453,2.8096444872883315,2.2453738128277863,3.462072524453757
2,eq,501000,0.001,1.0549819101178541,0.5741095603068802,2.7530262260996214,2.2588842386193098,3.4860924503951414
3,eq,501500,0.0015,1.8532295905504883,1.324808498451974,2.718676705373891,2.1947544051226346,3.339128679152392
4,eq,502000,0.002,1.8930389535975292,1.3234407624452988,2.7589153151643653,2.2543732140079125,3.308956208408023
5,eq,502500,0.0025,2.240910266662278,1.6681859182655012,2.7845212052754778,2.2791144840184576,3.5816788840975122
6,eq,503000,0.003,2.408985145353981,1.7685855865182278,2.6846658382221764,2.1655717196562505,3.119379594425789
7,eq,503500,0.0034999999999999996,2.270104600387472,1.6039425636326037,2.7158514533489013,2.2008715193234147,3.247982987225132
8,eq,504000,0.004,2.4599239218614968,1.806247305421004,2.7265499560299293,2.229013071336165,3.3471687908781953
9,eq,504500,0.0045,2.553345227870943,1.997984405343145,2.7318322694798853,2.237965860766085,3.396450547560644
10,eq,505000,0.005,2.5819990541034112,1.8993472819455917,2.7038644877809004,2.1585975220934728,3.1225361154638387
11,eq,505500,0.0055,2.4964616580790095,1.8448172152434081,2.6794610744697405,2.1590214095111544,3.1152571719214848
12,eq,506000,0.006,2.558202813094688,1.9145956249124314,2.7669269993403125,2.237485594104991,3.39407420040635
13,eq,506500,0.0065,2.408053898495811,1.7496935185706308,2.769581213234617,2.243337633068782,3.4732622616197584
14,eq,507000,0.006999999999999999,2.540914545953825,1.8965632946557966,2.761711174754845,2.2248912298755594,3.395335217468078
15,eq,507500,0.0075,2.8294560647916684,2.098196543017293,2.6999225996960754,2.184978536158051,3.2292367473268353
16,eq,508000,0.008,2.9389185532599704,2.17419839710925,2.708804895839921,2.172005111286719,3.0637259017681395
17,eq,508500,0.008499999999999999,2.707645063827819,1.9607259140036966,2.7206427096183985,2.1872256372192425,3.401047239336768
18,eq,509000,0.009,2.8343972595784708,2.1531636374748717,2.7087312103618593,2.1805572827277704,3.2482912589807342
19,eq,509500,0.0095,3.2200454858088343,2.463371984139173,2.667994001698614,2.1423755195849408,3.132392973909833
20,eq,510000,0.01,2.70219148635971,1.9989982658444585,2.65304447248188,2.10172073093826,3.0580841480268326
21,eq,510500,0.010499999999999999,3.0914380270476225,2.286706664139496,2.7049525575199165,2.205420547390565,3.384023560349425
22,eq,511000,0.011,2.990098940073706,2.206419464152667,2.6671024978237883,2.154115291586525,3.04777705411157
23,eq,511500,0.0115,2.986634745161126,2.266213690053953,2.729142905220587,2.2031540608744136,3.1429110078104348
24,eq,512000,0.012,3.118417768883196,2.3538113944899552,2.729418282587335,2.2810039000809628,3.6985160009860714
25,eq,512500,0.012499999999999999,2.8595357725547204,2.1789399455955563,2.7606563421866746,2.253160519251197,3.3565966070017548
26,eq,513000,0.013,2.7122749109044992,2.0415636785836146,2.7739937569092494,2.305585685731807,3.6607557914635604
27,eq,513500,0.0135,2.3927845493326316,1.7450983638797455,2.6997909711444947,2.230433299619078,3.434480759395807
28,eq,514000,0.013999999999999999,2.5386670670281295,1.864183470414861,2.7537239945101413,2.2522621294476264,3.585195339833661
29,eq,514500,0.014499999999999999,3.456237062408945,2.714584214975734,2.807258634772982,2.3529687959400776,4.1048263576069814
30,eq,515000,0.015,3.4887034353305637,2.6525512030700042,2.8043868210953002,2.342644726823882,3.889066938069593
31,eq,515500,0.0155,3.259120624187768,2.4591190095693887,2.736892317759523,2.2180931654062213,3.16322510217784
32,eq,516000,0.016,3.1181874259579523,2.4257481193509296,2.816777305928668,2.3308029598263253,3.8656611134496774
33,eq,516500,0.0165,3.135113054057491,2.4119412171236165,2.6918790329323175,2.2045942031550676,3.28457985235482
