atom_id,type,element,npbc_rmsf_A,pbc_rmsf_A,delta_npbc_minus_pbc_A
1,4,H,3.5517785622973084,3.404014268916815,0.14776429338049324
2,1,C,3.078248521110007,2.928283836499715,0.14996468461029222
3,4,H,3.5624113333800085,3.3833562038676903,0.17905512951231817
4,4,H,3.5595968289248505,3.388872513343965,0.1707243155808853
5,1,C,1.834711203660194,1.7918775379337382,0.04283366572645586
6,3,O,2.130706310875542,2.127164926949373,0.003541383926169317
7,2,N,1.2624366656445873,1.2023058266792996,0.0601308389652877
8,4,H,2.0492284851023084,1.9193262476604227,0.12990223744188567
9,1,C,1.025330535877488,0.9621982529399127,0.06313228293757533
10,4,H,1.7295430583961526,1.6057885054554042,0.12375455294074844
11,1,C,2.257471237484043,2.206214155480604,0.051257082003438814
12,4,H,2.7884763683375753,2.747695358845255,0.04078100949232022
13,4,H,2.7750779143597435,2.731322603039729,0.043755311320014645
14,4,H,2.8027088242216434,2.718787180681362,0.0839216435402812
15,1,C,1.2557384593858976,1.2097430190096508,0.04599544037624681
16,3,O,2.2928474555399463,2.2433567445661233,0.04949071097382296
17,2,N,1.7494001621760362,1.7958086796853208,-0.04640851750928454
18,4,H,1.8215151086561352,1.9279125039735934,-0.10639739531745818
19,1,C,3.0563681537023517,3.106417517864707,-0.05004936416235539
20,4,H,3.5528985060893263,3.5985092031355963,-0.045610697046269966
21,4,H,3.5522095318367493,3.59910256923678,-0.046893037400030924
22,4,H,3.5531862629489717,3.6068088031168197,-0.053622540167848065
