lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,0,30,eq,500000,0.0,eq,515500,0.0155,C5,PPII,31,15.5
npbc,31,31,eq,515500,0.0155,eq,516000,0.016,PPII,C5,1,0.5
npbc,32,112,eq,516000,0.016,eq,556500,0.056499999999999995,C5,PPII,81,40.5
npbc,113,113,eq,556500,0.056499999999999995,eq,557000,0.056999999999999995,PPII,C5,1,0.5
npbc,114,114,eq,557000,0.056999999999999995,eq,557500,0.057499999999999996,C5,C7eq,1,0.5
npbc,115,115,eq,557500,0.057499999999999996,eq,558000,0.057999999999999996,C7eq,PPII,1,0.5
npbc,116,116,eq,558000,0.057999999999999996,eq,558500,0.058499999999999996,PPII,C5,1,0.5
npbc,117,117,eq,558500,0.058499999999999996,eq,559000,0.059,C5,C7eq,1,0.5
npbc,118,118,eq,559000,0.059,eq,559500,0.0595,C7eq,C5,1,0.5
npbc,119,129,eq,559500,0.0595,eq,565000,0.065,C5,alphaR,11,5.5
npbc,130,130,eq,565000,0.065,eq,565500,0.0655,alphaR,C5,1,0.5
npbc,131,131,eq,565500,0.0655,eq,566000,0.066,C5,C7ax,1,0.5
npbc,132,132,eq,566000,0.066,eq,566500,0.0665,C7ax,alphaR,1,0.5
npbc,133,135,eq,566500,0.0665,eq,568000,0.06799999999999999,alphaR,C7ax,3,1.5
npbc,136,141,eq,568000,0.06799999999999999,eq,571000,0.071,C7ax,C5,6,3.0
npbc,142,142,eq,571000,0.071,eq,571500,0.0715,C5,C7ax,1,0.5
npbc,143,206,eq,571500,0.0715,eq,603500,0.1035,C7ax,alphaL_C7ax,64,32.0
npbc,207,207,eq,603500,0.1035,eq,604000,0.104,alphaL_C7ax,C7ax,1,0.5
npbc,208,370,eq,604000,0.104,eq,685500,0.1855,C7ax,C7eq,163,81.5
npbc,371,375,eq,685500,0.1855,eq,688000,0.188,C7eq,C5,5,2.5
npbc,376,376,eq,688000,0.188,eq,688500,0.1885,C5,PPII,1,0.5
npbc,377,380,eq,688500,0.1885,eq,690500,0.1905,PPII,C7eq,4,2.0
npbc,381,392,eq,690500,0.1905,eq,696500,0.19649999999999998,C7eq,alpha_prime,12,6.0
npbc,393,393,eq,696500,0.19649999999999998,eq,697000,0.19699999999999998,alpha_prime,C7eq,1,0.5
npbc,394,411,eq,697000,0.19699999999999998,eq,706000,0.206,C7eq,PPII,18,9.0
npbc,412,413,eq,706000,0.206,eq,707000,0.207,PPII,C5,2,1.0
npbc,414,415,eq,707000,0.207,eq,708000,0.208,C5,PPII,2,1.0
npbc,416,416,eq,708000,0.208,eq,708500,0.2085,PPII,C5,1,0.5
npbc,417,421,eq,708500,0.2085,eq,711000,0.211,C5,PPII,5,2.5
npbc,422,423,eq,711000,0.211,eq,712000,0.212,PPII,C5,2,1.0
npbc,424,424,eq,712000,0.212,eq,712500,0.2125,C5,PPII,1,0.5
npbc,425,425,eq,712500,0.2125,eq,713000,0.213,PPII,C5,1,0.5
npbc,426,434,eq,713000,0.213,eq,717500,0.2175,C5,PPII,9,4.5
npbc,435,435,eq,717500,0.2175,eq,718000,0.218,PPII,C5,1,0.5
npbc,436,460,eq,718000,0.218,eq,730500,0.23049999999999998,C5,PPII,25,12.5
npbc,461,462,eq,730500,0.23049999999999998,eq,731500,0.23149999999999998,PPII,C5,2,1.0
npbc,463,465,eq,731500,0.23149999999999998,eq,733000,0.23299999999999998,C5,PPII,3,1.5
npbc,466,466,eq,733000,0.23299999999999998,eq,733500,0.23349999999999999,PPII,C5,1,0.5
npbc,467,467,eq,733500,0.23349999999999999,eq,734000,0.23399999999999999,C5,PPII,1,0.5
npbc,468,468,eq,734000,0.23399999999999999,eq,734500,0.2345,PPII,C5,1,0.5
npbc,469,484,eq,734500,0.2345,eq,742500,0.2425,C5,C7eq,16,8.0
