frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
0,500000,0.0,2,1,3
1,510000,0.01,0,2,2
2,520000,0.02,1,3,4
3,530000,0.03,1,5,6
4,540000,0.04,0,5,5
5,550000,0.05,1,3,4
6,560000,0.06,2,1,3
7,570000,0.07,1,4,5
8,580000,0.08,2,1,3
9,590000,0.09,2,1,3
10,600000,0.1,1,3,4
11,610000,0.11,2,3,5
12,620000,0.12,0,6,6
13,630000,0.13,2,3,5
14,640000,0.14,1,3,4
15,650000,0.15,1,5,6
16,660000,0.16,1,5,6
17,670000,0.17,0,2,2
18,680000,0.18,1,0,1
19,690000,0.19,0,4,4
20,700000,0.2,0,2,2
21,710000,0.21,0,3,3
22,720000,0.22,1,5,6
23,730000,0.23,1,3,4
24,740000,0.24,1,4,5
25,750000,0.25,0,4,4
26,760000,0.26,1,3,4
27,770000,0.27,1,3,4
28,780000,0.28,0,2,2
29,790000,0.29,1,2,3
30,800000,0.3,0,3,3
31,810000,0.31,1,4,5
32,820000,0.32,1,4,5
33,830000,0.33,0,4,4
34,840000,0.34,0,3,3
35,850000,0.35000000000000003,0,4,4
36,860000,0.36,1,2,3
37,870000,0.37,2,3,5
38,880000,0.38,0,2,2
39,890000,0.39,1,2,3
40,900000,0.4,2,4,6
41,910000,0.41000000000000003,2,3,5
42,920000,0.42,1,3,4
43,930000,0.43,1,3,4
44,940000,0.44,0,4,4
45,950000,0.45,1,5,6
46,960000,0.46,0,2,2
47,970000,0.47000000000000003,1,3,4
48,980000,0.48,2,2,4
49,990000,0.49,1,2,3
50,1000000,0.5,0,3,3
51,1010000,0.51,1,1,2
52,1020000,0.52,0,3,3
53,1030000,0.53,1,2,3
54,1040000,0.54,1,4,5
55,1050000,0.55,1,4,5
56,1060000,0.56,2,5,7
57,1070000,0.5700000000000001,1,5,6
58,1080000,0.58,1,4,5
59,1090000,0.59,1,6,7
60,1100000,0.6,2,2,4
61,1110000,0.61,1,3,4
62,1120000,0.62,0,4,4
63,1130000,0.63,1,2,3
64,1140000,0.64,1,3,4
65,1150000,0.65,1,3,4
66,1160000,0.66,0,4,4
67,1170000,0.67,1,4,5
68,1180000,0.68,1,2,3
69,1190000,0.6900000000000001,2,2,4
70,1200000,0.7000000000000001,1,1,2
71,1210000,0.71,2,2,4
72,1220000,0.72,1,3,4
73,1230000,0.73,1,4,5
74,1240000,0.74,1,3,4
75,1250000,0.75,1,4,5
76,1260000,0.76,0,4,4
77,1270000,0.77,0,3,3
78,1280000,0.78,1,4,5
79,1290000,0.79,1,4,5
80,1300000,0.8,0,2,2
81,1310000,0.81,2,4,6
82,1320000,0.8200000000000001,1,3,4
83,1330000,0.8300000000000001,1,3,4
84,1340000,0.84,1,3,4
85,1350000,0.85,0,4,4
86,1360000,0.86,1,2,3
87,1370000,0.87,0,5,5
88,1380000,0.88,0,5,5
89,1390000,0.89,2,1,3
90,1400000,0.9,1,3,4
91,1410000,0.91,0,4,4
92,1420000,0.92,0,3,3
93,1430000,0.93,2,2,4
94,1440000,0.9400000000000001,2,3,5
95,1450000,0.9500000000000001,0,4,4
96,1460000,0.96,1,5,6
97,1470000,0.97,2,3,5
98,1480000,0.98,1,3,4
99,1490000,0.99,2,3,5
100,1500000,1.0,0,4,4
101,1510000,1.01,1,2,3
102,1520000,1.02,0,3,3
103,1530000,1.03,1,5,6
104,1540000,1.04,2,2,4
105,1550000,1.05,1,3,4
106,1560000,1.06,0,2,2
107,1570000,1.07,1,4,5
108,1580000,1.08,2,2,4
109,1590000,1.09,2,3,5
110,1600000,1.1,2,2,4
111,1610000,1.11,0,3,3
112,1620000,1.12,0,2,2
113,1630000,1.1300000000000001,2,4,6
114,1640000,1.1400000000000001,0,4,4
115,1650000,1.1500000000000001,1,3,4
116,1660000,1.16,0,4,4
117,1670000,1.17,1,3,4
118,1680000,1.18,0,2,2
119,1690000,1.19,1,4,5
120,1700000,1.2,1,4,5
121,1710000,1.21,1,2,3
122,1720000,1.22,1,3,4
123,1730000,1.23,0,3,3
124,1740000,1.24,0,3,3
125,1750000,1.25,1,3,4
126,1760000,1.26,0,3,3
