frame,step,time_ns,n_shell1,n_shell2
0,500000,0.0,10,28
1,510000,0.01,8,29
2,520000,0.02,11,26
3,530000,0.03,12,28
4,540000,0.04,12,33
5,550000,0.05,12,27
6,560000,0.06,13,27
7,570000,0.07,10,30
8,580000,0.08,15,28
9,590000,0.09,13,27
10,600000,0.1,12,27
11,610000,0.11,7,34
12,620000,0.12,14,27
13,630000,0.13,9,30
14,640000,0.14,14,25
15,650000,0.15,9,29
16,660000,0.16,11,29
17,670000,0.17,13,29
18,680000,0.18,14,28
19,690000,0.19,12,29
20,700000,0.2,10,27
21,710000,0.21,13,26
22,720000,0.22,16,25
23,730000,0.23,12,31
24,740000,0.24,11,28
25,750000,0.25,12,24
26,760000,0.26,12,27
27,770000,0.27,11,31
28,780000,0.28,11,32
29,790000,0.29,14,30
30,800000,0.3,12,25
31,810000,0.31,11,27
32,820000,0.32,11,29
33,830000,0.33,12,34
34,840000,0.34,14,24
35,850000,0.35000000000000003,10,31
36,860000,0.36,16,23
37,870000,0.37,12,26
38,880000,0.38,10,28
39,890000,0.39,15,26
40,900000,0.4,15,27
41,910000,0.41000000000000003,13,25
42,920000,0.42,9,31
43,930000,0.43,14,23
44,940000,0.44,12,23
45,950000,0.45,15,22
46,960000,0.46,16,26
47,970000,0.47000000000000003,10,31
48,980000,0.48,12,30
49,990000,0.49,10,28
50,1000000,0.5,12,31
51,1010000,0.51,12,31
52,1020000,0.52,9,26
53,1030000,0.53,11,30
54,1040000,0.54,14,26
55,1050000,0.55,8,29
56,1060000,0.56,11,27
57,1070000,0.5700000000000001,9,31
58,1080000,0.58,7,29
59,1090000,0.59,10,28
60,1100000,0.6,9,25
61,1110000,0.61,16,25
62,1120000,0.62,11,31
63,1130000,0.63,15,27
64,1140000,0.64,12,26
65,1150000,0.65,13,28
66,1160000,0.66,12,25
67,1170000,0.67,17,25
68,1180000,0.68,15,26
69,1190000,0.6900000000000001,13,28
70,1200000,0.7000000000000001,14,28
71,1210000,0.71,13,28
72,1220000,0.72,12,31
73,1230000,0.73,10,33
74,1240000,0.74,12,30
75,1250000,0.75,10,31
76,1260000,0.76,10,29
77,1270000,0.77,14,32
78,1280000,0.78,12,29
79,1290000,0.79,11,27
80,1300000,0.8,11,28
81,1310000,0.81,16,27
82,1320000,0.8200000000000001,9,31
83,1330000,0.8300000000000001,12,31
84,1340000,0.84,10,27
85,1350000,0.85,14,27
86,1360000,0.86,13,31
87,1370000,0.87,14,28
88,1380000,0.88,11,26
89,1390000,0.89,9,36
90,1400000,0.9,9,30
91,1410000,0.91,11,31
92,1420000,0.92,11,27
93,1430000,0.93,19,21
94,1440000,0.9400000000000001,13,24
95,1450000,0.9500000000000001,14,23
96,1460000,0.96,11,31
97,1470000,0.97,12,27
98,1480000,0.98,14,26
99,1490000,0.99,13,26
100,1500000,1.0,15,25
101,1510000,1.01,12,30
102,1520000,1.02,14,26
103,1530000,1.03,14,25
104,1540000,1.04,12,25
105,1550000,1.05,12,26
106,1560000,1.06,14,27
107,1570000,1.07,10,29
108,1580000,1.08,16,25
109,1590000,1.09,11,33
110,1600000,1.1,14,28
