frame,step,time_ns,n_shell1,n_shell2
0,500000,0.0,14,26
1,510000,0.01,18,20
2,520000,0.02,13,28
3,530000,0.03,17,27
4,540000,0.04,18,26
5,550000,0.05,15,26
6,560000,0.06,14,27
7,570000,0.07,17,28
8,580000,0.08,14,28
9,590000,0.09,13,28
10,600000,0.1,9,38
11,610000,0.11,13,27
12,620000,0.12,12,26
13,630000,0.13,16,25
14,640000,0.14,19,20
15,650000,0.15,17,25
16,660000,0.16,20,25
17,670000,0.17,16,27
18,680000,0.18,16,27
19,690000,0.19,10,35
20,700000,0.2,15,33
21,710000,0.21,13,29
22,720000,0.22,14,28
23,730000,0.23,15,29
24,740000,0.24,16,28
25,750000,0.25,14,32
26,760000,0.26,13,30
27,770000,0.27,17,28
28,780000,0.28,15,28
29,790000,0.29,16,28
30,800000,0.3,17,27
31,810000,0.31,12,28
32,820000,0.32,13,31
33,830000,0.33,16,25
34,840000,0.34,19,24
35,850000,0.35000000000000003,18,31
36,860000,0.36,19,23
37,870000,0.37,11,34
38,880000,0.38,12,28
39,890000,0.39,14,25
40,900000,0.4,15,28
41,910000,0.41000000000000003,12,37
42,920000,0.42,14,30
43,930000,0.43,15,27
44,940000,0.44,16,23
45,950000,0.45,15,27
46,960000,0.46,16,25
47,970000,0.47000000000000003,14,30
48,980000,0.48,17,27
49,990000,0.49,15,27
50,1000000,0.5,14,28
51,1010000,0.51,14,25
52,1020000,0.52,18,23
53,1030000,0.53,12,29
54,1040000,0.54,13,31
55,1050000,0.55,17,28
56,1060000,0.56,15,30
57,1070000,0.5700000000000001,15,30
58,1080000,0.58,11,33
59,1090000,0.59,15,27
60,1100000,0.6,15,29
61,1110000,0.61,13,32
62,1120000,0.62,16,27
63,1130000,0.63,20,24
64,1140000,0.64,16,26
65,1150000,0.65,14,30
66,1160000,0.66,14,33
67,1170000,0.67,12,31
68,1180000,0.68,17,29
69,1190000,0.6900000000000001,14,27
70,1200000,0.7000000000000001,13,29
71,1210000,0.71,15,29
72,1220000,0.72,12,33
73,1230000,0.73,13,31
74,1240000,0.74,15,25
75,1250000,0.75,13,30
76,1260000,0.76,15,25
77,1270000,0.77,14,27
78,1280000,0.78,14,25
79,1290000,0.79,18,23
80,1300000,0.8,14,26
81,1310000,0.81,16,28
82,1320000,0.8200000000000001,15,28
83,1330000,0.8300000000000001,18,23
84,1340000,0.84,18,27
85,1350000,0.85,13,33
86,1360000,0.86,17,29
87,1370000,0.87,13,29
88,1380000,0.88,16,28
89,1390000,0.89,12,31
90,1400000,0.9,12,31
91,1410000,0.91,13,30
92,1420000,0.92,13,30
93,1430000,0.93,13,31
94,1440000,0.9400000000000001,16,28
95,1450000,0.9500000000000001,17,23
96,1460000,0.96,14,30
97,1470000,0.97,16,24
98,1480000,0.98,13,32
99,1490000,0.99,11,33
100,1500000,1.0,17,25
101,1510000,1.01,18,28
102,1520000,1.02,17,25
103,1530000,1.03,18,21
104,1540000,1.04,15,27
105,1550000,1.05,15,27
106,1560000,1.06,18,22
107,1570000,1.07,18,26
108,1580000,1.08,14,25
109,1590000,1.09,12,33
110,1600000,1.1,19,26
111,1610000,1.11,16,27
112,1620000,1.12,15,30
113,1630000,1.1300000000000001,17,25
114,1640000,1.1400000000000001,13,27
115,1650000,1.1500000000000001,16,27
116,1660000,1.16,14,32
117,1670000,1.17,16,30
118,1680000,1.18,12,30
119,1690000,1.19,14,32
120,1700000,1.2,10,34
121,1710000,1.21,13,30
122,1720000,1.22,16,24
123,1730000,1.23,11,30
124,1740000,1.24,14,26
125,1750000,1.25,16,28
126,1760000,1.26,16,27
127,1770000,1.27,15,31
128,1780000,1.28,16,23
129,1790000,1.29,15,28
130,1800000,1.3,12,30
131,1810000,1.31,12,34
132,1820000,1.32,12,31
133,1830000,1.33,15,29
134,1840000,1.34,13,31
135,1850000,1.35,12,34
136,1860000,1.36,17,27
137,1870000,1.37,11,30
138,1880000,1.3800000000000001,19,25
139,1890000,1.3900000000000001,15,30
140,1900000,1.4000000000000001,15,28
141,1910000,1.41,15,28
142,1920000,1.42,15,27
143,1930000,1.43,19,26
144,1940000,1.44,16,27
145,1950000,1.45,15,30
