site_category,r_A,rho_npbc_molA3,rho_pbc_molA3,delta_npbc_minus_pbc,rel_delta_vs_pbc
all_heavy,0.125,0.0,0.0,0.0,nan
all_heavy,0.375,0.0,0.0,0.0,nan
all_heavy,0.625,0.0,0.0,0.0,nan
all_heavy,0.875,0.0,0.0,0.0,nan
all_heavy,1.125,0.0,0.0,0.0,nan
all_heavy,1.375,0.0,0.0,0.0,nan
all_heavy,1.625,0.0,0.0,0.0,nan
all_heavy,1.875,0.0,0.0,0.0,nan
all_heavy,2.125,0.0,0.0,0.0,nan
all_heavy,2.375,5.6267076683614145e-05,9.002732269378264e-05,-3.376024601016849e-05,-0.375
all_heavy,2.625,0.005970361814052032,0.007232614234615502,-0.0012622524205634705,-0.17452229299363067
all_heavy,2.875,0.01259047414785099,0.014918060277685552,-0.002327586129834563,-0.15602471678681767
all_heavy,3.125,0.015645030678767675,0.019624564666883143,-0.003979533988115468,-0.20278330019880716
all_heavy,3.375,0.026008658994360247,0.033172887677694204,-0.007164228683333957,-0.2159663865546218
all_heavy,3.625,0.033444936369672044,0.03972794464721159,-0.0062830082775395465,-0.15815085158150852
all_heavy,3.875,0.03386366505319363,0.03792848919959871,-0.004064824146405077,-0.10717073714731785
all_heavy,4.125,0.030201866494044084,0.0334120512900987,-0.003210184796054616,-0.09607865043011948
all_heavy,4.375,0.029444800011559295,0.03113722061404946,-0.0016924206024901654,-0.0543536182457636
all_heavy,4.625,0.029956306729765368,0.03176473167013285,-0.0018084249403674812,-0.056931850051416405
all_heavy,4.875,0.03022412900096086,0.03216191583556438,-0.001937786834603522,-0.060250976481342984
all_heavy,5.125,0.029959857883305612,0.03160440933314802,-0.0016445514498424109,-0.05203550658096105
all_heavy,5.375,0.029799749685567284,0.03246024530421529,-0.0026604956186480067,-0.08196166090902937
all_heavy,5.625,0.030651347410992468,0.034080475686225006,-0.003429128275232538,-0.10061855670103097
all_heavy,5.875,0.03231330943941725,0.03615439144659751,-0.003841082007180259,-0.10624109142740787
all_heavy,6.125,0.03372931005273811,0.03772047345422934,-0.003991163401491228,-0.1058089423594901
all_heavy,6.375,0.0346140520336452,0.03799667525441869,-0.003382623220773491,-0.08902418956722065
all_heavy,6.625,0.03471014215210086,0.038043508457771526,-0.0033333663056706667,-0.08761984477248515
all_heavy,6.875,0.03500204972935726,0.03813774522196883,-0.0031356954926115704,-0.08222026431718064
all_heavy,7.125,0.035360969303655954,0.038388119558302375,-0.0030271502546464213,-0.07885643499804422
all_heavy,7.375,0.03561030576752491,0.038225481397723284,-0.002615175630198377,-0.06841445900938052
all_heavy,7.625,0.0353111126033092,0.038136788342638256,-0.002825675739329056,-0.07409317517620781
all_heavy,7.875,0.03518753969825195,0.03788686623191797,-0.002699326533666016,-0.07124702574086098
all_heavy,8.125,0.03519011867007345,0.037530544972630905,-0.002340426302557458,-0.06236057334803452
all_heavy,8.375,0.03494129311955124,0.037356940493630184,-0.0024156473740789414,-0.06466395112016303
all_heavy,8.625,0.034855630958517084,0.037408271741949425,-0.0025526407834323417,-0.06823733534232818
all_heavy,8.875,0.03522734195167976,0.037195394942225804,-0.001968052990546046,-0.052911200260218984
all_heavy,9.125,0.03539134367694365,0.037561290457524175,-0.002169946780580523,-0.057770826139064264
all_heavy,9.375,0.0355176245868672,0.03812997999343139,-0.002612355406564189,-0.0685118483412322
all_heavy,9.625,0.03602416392397383,0.03814940443416601,-0.0021252405101921737,-0.055708353556598166
all_heavy,9.875,0.036348536345739216,0.03806524112905982,-0.0017167047833206023,-0.045099012442877534
all_heavy,10.125,0.036518640825697,0.03819872016587154,-0.0016800793401745354,-0.04398260813134766
O_acceptor,0.125,0.0,0.0,0.0,nan
O_acceptor,0.375,0.0,0.0,0.0,nan
O_acceptor,0.625,0.0,0.0,0.0,nan
O_acceptor,0.875,0.0,0.0,0.0,nan
O_acceptor,1.125,0.0,0.0,0.0,nan
O_acceptor,1.375,0.0,0.0,0.0,nan
O_acceptor,1.625,0.0,0.0,0.0,nan
O_acceptor,1.875,0.0,0.0,0.0,nan
O_acceptor,2.125,0.0,0.0,0.0,nan
O_acceptor,2.375,0.00028133538341807075,0.00045013661346891316,-0.00016880123005084242,-0.37499999999999994
O_acceptor,2.625,0.02791696959348404,0.033537217597452776,-0.005620248003968736,-0.16758241758241765
O_acceptor,2.875,0.0412128699226483,0.045092180139039234,-0.003879310216390937,-0.08603066439522992
O_acceptor,3.125,0.021133146178717768,0.026530226587436458,-0.005397080408718689,-0.20343137254901955
O_acceptor,3.375,0.017143971362841962,0.022942257612388512,-0.00579828624954655,-0.25273390036452004
O_acceptor,3.625,0.017447430678398275,0.020903085231045025,-0.0034556545526467503,-0.16531791907514454
O_acceptor,3.875,0.01947816357356441,0.021741098972447574,-0.0022629353988831633,-0.10408560311284053
O_acceptor,4.125,0.022881898604435822,0.02603609180521042,-0.003154193200774598,-0.121146953405018
O_acceptor,4.375,0.028339748912286303,0.02850567250076573,-0.00016592358847942676,-0.005820721769499374
O_acceptor,4.625,0.029368345911714857,0.031936962616834506,-0.0025686167051196494,-0.08042770804277075
O_acceptor,4.875,0.032447906444257595,0.03522762824837851,-0.0027797218041209146,-0.07890743550834599
O_acceptor,5.125,0.033423089760032575,0.03701449991152667,-0.0035914101514940983,-0.09702711532179038
O_acceptor,5.375,0.03214582309473871,0.03688414380398371,-0.004738320709245,-0.1284649776453055
O_acceptor,5.625,0.03240405758914119,0.03650977616223869,-0.004105718573097501,-0.1124553203189441
O_acceptor,5.875,0.034094894194065306,0.03757340161791326,-0.0034785074238479555,-0.09257898603967664
O_acceptor,6.125,0.03419666732843246,0.03787117924240614,-0.00367451191397368,-0.09702660406885762
O_acceptor,6.375,0.03497513612052074,0.035936463884280304,-0.0009613277637595605,-0.026750761200521854
O_acceptor,6.625,0.03465079867900815,0.036640976130287856,-0.001990177451279704,-0.054315623148330924
O_acceptor,6.875,0.034528940079379004,0.0371767412454505,-0.002647801166071495,-0.07122198120028929
O_acceptor,7.125,0.03453253876683251,0.03699780788698689,-0.0024652691201543786,-0.06663284288855069
O_acceptor,7.375,0.033989107118701616,0.037598259730275085,-0.00360915261157347,-0.09599254426840632
O_acceptor,7.625,0.03414631355531045,0.037020067304125374,-0.0028737537488149265,-0.07762691853600942
O_acceptor,7.875,0.03433830186280257,0.038384730632434735,-0.004046428769632168,-0.10541766746730728
O_acceptor,8.125,0.035197817440805544,0.03792606931899238,-0.0027282518781868367,-0.07193605683836579
O_acceptor,8.375,0.03513874761057082,0.03843569415787016,-0.0032969465472993398,-0.08577824908683876
O_acceptor,8.625,0.03605210126216001,0.03869526727912993,-0.002643166016969921,-0.06830721694990066
O_acceptor,8.875,0.03672354617195144,0.038421395165844655,-0.0016978489938932126,-0.04419019628424488
O_acceptor,9.125,0.03576139437616361,0.03826782024613795,-0.002506425869974342,-0.06549695942578006
O_acceptor,9.375,0.03626865869517384,0.037493877957522015,-0.0012252192623481775,-0.03267784846732223
O_acceptor,9.625,0.03608245545135891,0.03683681639398924,-0.0007543609426303305,-0.02047845108442709
O_acceptor,9.875,0.03654594110829943,0.0375264499124351,-0.0009805088041356727,-0.026128472222222185
O_acceptor,10.125,0.03640275191510584,0.0373633284467438,-0.0009605765316379605,-0.025709072814728697
N_site,0.125,0.0,0.0,0.0,nan
N_site,0.375,0.0,0.0,0.0,nan
N_site,0.625,0.0,0.0,0.0,nan
N_site,0.875,0.0,0.0,0.0,nan
N_site,1.125,0.0,0.0,0.0,nan
N_site,1.375,0.0,0.0,0.0,nan
N_site,1.625,0.0,0.0,0.0,nan
N_site,1.875,0.0,0.0,0.0,nan
N_site,2.125,0.0,0.0,0.0,nan
N_site,2.375,0.0,0.0,0.0,nan
N_site,2.625,0.0017505690504164909,0.002395515542675198,-0.0006449464922587073,-0.2692307692307693
N_site,2.875,0.0160549670341724,0.020625639467345885,-0.0045706724331734845,-0.2216014897579144
N_site,3.125,0.02259621014493669,0.02454696209989525,-0.0019507519549585607,-0.0794701986754966
N_site,3.375,0.021632067931000587,0.025757771608562557,-0.00412570367756197,-0.16017316017316025
N_site,3.625,0.02022645357038692,0.02518036394306233,-0.00495391037267541,-0.1967370441458733
N_site,3.875,0.022354417912331795,0.026034331551637122,-0.0036799136393053274,-0.14134849715678308
N_site,4.125,0.024729621248676562,0.0269879489249708,-0.002258327676294237,-0.08367911479944674
N_site,4.375,0.028455895424221903,0.03139274294030778,-0.002936847516085875,-0.09355179704016911
N_site,4.625,0.035337039064651854,0.03740084092599076,-0.002063801861338907,-0.055180627233028884
N_site,4.875,0.034105048289021986,0.038488455749366504,-0.004383407460344518,-0.11388888888888889
N_site,5.125,0.032092937852071804,0.03478951853821047,-0.0026965806861386638,-0.0775112964893987
N_site,5.375,0.032189798228931234,0.035641846263044764,-0.0034520480341135307,-0.09685379395434926
N_site,5.625,0.032926056038532554,0.03797538719322215,-0.005049331154689599,-0.13296325667459694
N_site,5.875,0.033892441381037114,0.03670837596224737,-0.0028159345812102526,-0.07671095512659817
N_site,6.125,0.034306733353505404,0.03723618294390838,-0.002929449590402977,-0.0786721236925875
N_site,6.375,0.03397472999238071,0.036241275126447973,-0.002266545134067266,-0.06254043562648263
N_site,6.625,0.03427447421549344,0.036141622515239495,-0.0018671482997460534,-0.05166199439327193
N_site,6.875,0.0342466871631988,0.03745899416163071,-0.0032123069984319116,-0.08575529242913525
N_site,7.125,0.035239582956115366,0.03831804084219646,-0.003078457886081097,-0.08033964728935328
N_site,7.375,0.03530895904461683,0.03865530928156116,-0.00334635023694433,-0.08656896812207272
N_site,7.625,0.035173434667054186,0.03892679745305391,-0.0037533627859997268,-0.096421052631579
N_site,7.875,0.03583906595078007,0.038195214348287404,-0.002356148397507335,-0.06168700549818959
N_site,8.125,0.03531811073349456,0.038700758123909634,-0.0033826473904150778,-0.08740519706577148
N_site,8.375,0.03521573674697753,0.03795564424851064,-0.0027399075015331065,-0.07218708984608051
